field,title,author,abstract
Genetics,The Taiwan Precision Medicine Initiative: A Cohort for Large-Scale Studies,"Hsin-Chou,Pui-Yan,Ling-Hui,Yi-Min,Yuh-Jyh,Kang-Yun,Da-Wei,Ming-Fang,Jenn-Hwai,Chien-Hsiun,Erh-Chan,Chun-yu,Cathy S.-J.,Yen-Tsung,Chia-Wei,Yi-Ju,Shih-Kai,Chih-hsing,Cheng-Shin,Yungling Leo,Hung-Hsin,Ming-Chih,Jeng-Fong,Shun-Fa,Chih-Hung,Chih-Yang,Kuan-Ming,Ming,Fu-Tien,Sing-Lian,Shiou-Sheng,Wei-Jen,Chih-Cheng,Shih-Yao,Fu-Pang,Hsiang-Ling,Yi-Chen,Wei-Cheng,Ming-Hwai,Hsiao-Ting,Ling-Ming,Wen-Yih,Paul Chih-Hsueh,Jen-Fan,Shih-Chieh,Yu-Jiun,Ying-Ju,Lei-Chi,Chin-Chen,Yu-Cheng,Yi-Ming,Tzu-Hung,Ching-Heng,Yen-Ju,I-Chieh,Chien-Lin,Shu-Jung,Yen-Lin,Yi-Ju,Chih-Hung,Wei-Ju,Hsin,Ting-Ting,Hsin-Chien,Chun-Ming,Teh-Ying,Tsan-Hon,Chen-Yuan,Yih-Giun,Chih-Hwa,Chao-Hua,Sung-Hui,Emily Pei-Ying,Ying-Ju,Hui-Ping,Tsai-Chuan,Wei-Ting,Joey,I-Ling,Yi-Chen,Kuo-Kuang,Yu-Min,Pin-Pin,Lung-Pao,Kuei-Yao,Li-Ching,Yi-Jing,Yuan-Tsong,Kamhon,Hsiang-Lin,Yao-Kuang,Ming-Feng,Yuan-Han,Chao-Hung,Wen-Jeng,Jee-Fu,Inn-Wen,Jong-Rung,Cheng-Yu,Ming-Chin,Tsong-Hai,Meng-Han,Yu-Che,Pin-Yuan,Tsung-Hui,Yu-Chiau,Chih-Kuang,Yu-Jen,Song-Chou,Chien-Hung,Chieh-Chang,Ko-Jen,Chin-Hsien,Hsien-Yi,Chen-Chi,Chun-Yen,Shi-Jye,Feng-Cheng,Fu-Ch,Hsin-An,Wei-liang,Sung-Sen,Yueh-feng,Tso-Fu,Shinn Zong,Yen-Wen,Chien-Sheng,Ju-Ying,Gwo-Chin,Ting-Yu,Juey-Jen,Kuo-Jang,Chen-Fang,Ting-Fang,Po-Yueh,Kochung,Ming-Shiang,See-Tong,Shih-Ann,Wei-Ming,Chun-houh,Wayne Huey-Herng,Jer-Yuarn,Hsin-Chou,Pui-Yan,Ling-Hui,Yi-Min,Yuh-Jyh,Kang-Yun,Da-Wei,Ming-Fang,Jenn-Hwai,Chien-Hsiun,Erh-Chan,Chun-yu,Cathy S.-J.,Yen-Tsung,Chia-Wei,Yi-Ju,Shih-Kai,Chih-hsing,Cheng-Shin,Yungling Leo,Hung-Hsin,Ming-Chih,Jeng-Fong,Shun-Fa,Chih-Hung,Chih-Yang,Kuan-Ming,Ming,Fu-Tien,Sing-Lian,Shiou-Sheng,Wei-Jen,Chih-Cheng,Shih-Yao,Fu-Pang,Hsiang-Ling,Yi-Chen,Wei-Cheng,Ming-Hwai,Hsiao-Ting,Ling-Ming,Wen-Yih,Paul Chih-Hsueh,Jen-Fan,Shih-Chieh,Yu-Jiun,Ying-Ju,Lei-Chi,Chin-Chen,Yu-Cheng,Yi-Ming,Tzu-Hung,Ching-Heng,Yen-Ju,I-Chieh,Chien-Lin,Shu-Jung,Yen-Lin,Yi-Ju,Chih-Hung,Wei-Ju,Hsin,Ting-Ting,Hsin-Chien,Chun-Ming,Teh-Ying,Tsan-Hon,Chen-Yuan,Yih-Giun,Chih-Hwa,Chao-Hua,Sung-Hui,Emily Pei-Ying,Ying-Ju,Hui-Ping,Tsai-Chuan,Wei-Ting,Joey,I-Ling,Yi-Chen,Kuo-Kuang,Yu-Min,Pin-Pin,Lung-Pao,Kuei-Yao,Li-Ching,Yi-Jing,Yuan-Tsong,Kamhon,Hsiang-Lin,Yao-Kuang,Ming-Feng,Yuan-Han,Chao-Hung,Wen-Jeng,Jee-Fu,Inn-Wen,Jong-Rung,Cheng-Yu,Ming-Chin,Tsong-Hai,Meng-Han,Yu-Che,Pin-Yuan,Tsung-Hui,Yu-Chiau,Chih-Kuang,Yu-Jen,Song-Chou,Chien-Hung,Chieh-Chang,Ko-Jen,Chin-Hsien,Hsien-Yi,Chen-Chi,Chun-Yen,Shi-Jye,Feng-Cheng,Fu-Ch,Hsin-An,Wei-liang,Sung-Sen,Yueh-feng,Tso-Fu,Shinn Zong,Yen-Wen,Chien-Sheng,Ju-Ying,Gwo-Chin,Ting-Yu,Juey-Jen,Kuo-Jang,Chen-Fang,Ting-Fang,Po-Yueh,Kochung,Ming-Shiang,See-Tong,Shih-Ann,Wei-Ming,Chun-houh,Wayne Huey-Herng,Jer-Yuarn,Hsin-Chou,Pui-Yan,Ling-Hui,Yi-Min,Yuh-Jyh,Kang-Yun,Da-Wei,Ming-Fang,Jenn-Hwai,Chien-Hsiun,Erh-Chan,Chun-yu,Cathy S.-J.,Yen-Tsung,Chia-Wei,Yi-Ju,Shih-Kai,Chih-hsing,Cheng-Shin,Yungling Leo,Hung-Hsin,Ming-Chih,Jeng-Fong,Shun-Fa,Chih-Hung,Chih-Yang,Kuan-Ming,Ming,Fu-Tien,Sing-Lian,Shiou-Sheng,Wei-Jen,Chih-Cheng,Shih-Yao,Fu-Pang,Hsiang-Ling,Yi-Chen,Wei-Cheng,Ming-Hwai,Hsiao-Ting,Ling-Ming,Wen-Yih,Paul Chih-Hsueh,Jen-Fan,Shih-Chieh,Yu-Jiun,Ying-Ju,Lei-Chi,Chin-Chen,Yu-Cheng,Yi-Ming,Tzu-Hung,Ching-Heng,Yen-Ju,I-Chieh,Chien-Lin,Shu-Jung,Yen-Lin,Yi-Ju,Chih-Hung,Wei-Ju,Hsin,Ting-Ting,Hsin-Chien,Chun-Ming,Teh-Ying,Tsan-Hon,Chen-Yuan,Yih-Giun,Chih-Hwa,Chao-Hua,Sung-Hui,Emily Pei-Ying,Ying-Ju,Hui-Ping,Tsai-Chuan,Wei-Ting,Joey,I-Ling,Yi-Chen,Kuo-Kuang,Yu-Min,Pin-Pin,Lung-Pao,Kuei-Yao,Li-Ching,Yi-Jing,Yuan-Tsong,Kamhon,Hsiang-Lin,Yao-Kuang,Ming-Feng,Yuan-Han,Chao-Hung,Wen-Jeng,Jee-Fu,Inn-Wen,Jong-Rung,Cheng-Yu,Ming-Chin,Tsong-Hai,Meng-Han,Yu-Che,Pin-Yuan,Tsung-Hui,Yu-Chiau,Chih-Kuang,Yu-Jen,Song-Chou,Chien-Hung,Chieh-Chang,Ko-Jen,Chin-Hsien,Hsien-Yi,Chen-Chi,Chun-Yen,Shi-Jye,Feng-Cheng,Fu-Ch,Hsin-An,Wei-liang,Sung-Sen,Yueh-feng,Tso-Fu,Shinn Zong,Yen-Wen,Chien-Sheng,Ju-Ying,Gwo-Chin,Ting-Yu,Juey-Jen,Kuo-Jang,Chen-Fang,Ting-Fang,Po-Yueh,Kochung,Ming-Shiang,See-Tong,Shih-Ann,Wei-Ming,Chun-houh,Wayne Huey-Herng","The Taiwan Precision Medicine Initiative (TPMI), a project initiated by the Academia Sinica in collaboration with 16 major medical centers around Taiwan, has recruited 565,390 participants who consented to provide DNA samples for genetic profiling and grant access to their electronic medical records (EMR) for studies to develop precision medicine. Access to the EMR is both retrospective and prospective, allowing researchers to conduct prospective studies over time. Genetic profiling is done with population-optimized SNP arrays for the Han Chinese populations that enable genetic analyses such as genome-wide association, phenome-wide association, and polygenic risk score studies to evaluate common disease risk and pharmacogenetic response. Furthermore, the TPMI participants agree to be contacted for future research opportunities related to their genetic risks and receive personalized genetic risk profiles with health management recommendations. TPMI has established the TPMI Data Access Platform (TDAP), a central database and analysis platform that both safeguards the security of the data and facilitates academic research. The TPMI is the largest non-European cohort that merges genetic profiles with EMR in the world. With a cohort that can be followed over time, it can be utilized to validate genetic risk prediction models, conduct clinical trials to show the efficacy of risk-based health management, and optimize health policies based on genetic risks. In this report, we describe the TPMI study design, the population and genetic characteristics of the TPMI cohort, and the power it provides to conduct crucial studies in developing precision medicine on a population and personal level. As Han Chinese represent almost 20% of the world's population, the results of TPMI studies will benefit >1.4 billion people around the world and serve as a model for developing population-based precision medicine."
Biophysics,Opening and closing of a cryptic pocket in VP35 toggles it between two different RNA-binding modes,"Upasana L,Matthew Alberto,Neha,Maxwell I,Gregory R,Upasana L,Matthew Alberto,Neha,Maxwell I,Gregory R,Upasana L,Matthew Alberto,Neha,Maxwell I","Cryptic pockets are of growing interest as potential drug targets, particularly to control protein-nucleic acid interactions that often occur via flat surfaces. However, it remains unclear whether cryptic pockets contribute to protein function or if they are merely happenstantial features that can easily be evolved away to achieve drug resistance. Here, we explore whether a cryptic pocket in the Interferon Inhibitory Domain (IID) of viral protein 35 (VP35) of Zaire ebolavirus aids its ability to bind double-stranded RNA (dsRNA). We use simulations and experiments to study the relationship between cryptic pocket opening and dsRNA binding of the IIDs of two other filoviruses, Reston and Marburg. These homologs have nearly identical structures but block different interferon pathways due to different affinities for blunt ends and backbone of the dsRNA. Simulations and thiol-labeling experiments demonstrate that the homologs have varying probabilities of pocket opening. Subsequent dsRNA-binding assays suggest that closed conformations preferentially bind dsRNA blunt ends while open conformations prefer binding the backbone. Point mutations that modulate pocket opening proteins further confirm this preference. These results demonstrate the open cryptic pocket has a function, suggesting cryptic pockets are under selective pressure and may be difficult to evolve away to achieve drug resistance."
Biophysics,Weak magnetic field effects in biology are measurable—accelerated ,"Alessandro,Geoff,Lykourgos,Tobias,Dmitry,Peter,Clarice D.,Alessandro,Geoff,Lykourgos,Tobias,Dmitry,Peter,Clarice D.,Alessandro,Geoff,Lykourgos,Tobias,Dmitry,Peter","Despite decades of reports of weak magnetic field effects in biology across the tree of life and on a broad range of cell types, the evidence to date remains met with skepticism. To remedy this, we present open-data, large scale, and varied morphological evidence that "
Biophysics,Nonlinear Singular Value Decomposition Beamforming for Ultrasound Imaging of Gas Vesicles,"Ge,Mathis,Mohamed,Esteban,Nabil,Anatole,Thomas,Simon,Pascal,Claire,Mikhail,Mickael,Ge,Mathis,Mohamed,Esteban,Nabil,Anatole,Thomas,Simon,Pascal,Claire,Mikhail,Mickael,Ge,Mathis,Mohamed,Esteban,Nabil,Anatole,Thomas,Simon,Pascal,Claire,Mikhail","Ultrasound imaging holds significant promise for the observation of molecular and cellular phenomena through the utilization of acoustic contrast agents and acoustic reporter genes. Optimizing imaging methodologies for enhanced detection represents an imperative advancement in this field. Most advanced techniques relying on amplitude modulation scheme such as cross amplitude modulation (xAM) and ultrafast amplitude modulation (uAM) combined with Hadamard encoded multiplane wave transmissions have shown efficacy in capturing acoustic signals of gas vesicles (GVs). Nonetheless, uAM sequence requires odd- or even-element transmissions leading to imprecise amplitude modulation emitting scheme, and the complex multiplane wave transmission scheme inherently yields overlong pulse durations. xAM sequence is limited in terms of field of view and imaging depth. To overcome these limitations, we introduce an innovative ultrafast imaging sequence called nonlinear singular value decomposition (SVD) beamforming. Our method demonstrated a contrast imaging sensitivity comparable to the current gold-standard xAM and uAM, while requiring 4.8 times less pulse transmissions. With similar number of transmit pulses, nonlinear SVD beamforming outperforms xAM and uAM in terms of an improvement in signal-to-background ratio of + 4.78 dB and + 8.29 dB respectively. Additionally, our method provides a higher flexibility in terms of the selection of acoustic pressure amplitude compared to the other methods. Furthermore, it shows a significant potential for application in the realm of ultrasound localization microscopy (ULM), where it stands poised to facilitate the more precise extraction of nonlinear signatures originating from contrast agents."
Bioengineering,Thioether-functionalized cellulose for the fabrication of oxidation-responsive biomaterial coatings and films,"Eric Michael,Kate Elizabeth,Matthew Gardner,Laboni Farha,Payton R,Riya,Timothy M,Eric Michael,Kate Elizabeth,Matthew Gardner,Laboni Farha,Payton R,Riya,Timothy M,Eric Michael,Kate Elizabeth,Matthew Gardner,Laboni Farha,Payton R,Riya","Biomaterial coatings and films can prevent premature failure and enhance performance of chronically implanted medical devices. However, current hydrophilic polymer coatings and films have significant drawbacks, including swelling and delamination. To address these issues, we modified hydroxyethyl cellulose with thioether groups to generate an oxidation-responsive polymer, HECMTP. HECMTP readily dissolves in green solvents and can be fabricated as coatings or films with tunable thicknesses. HECMTP coatings effectively scavenge hydrogen peroxide, resulting in conversion of thioether groups to sulfoxide groups on the polymer chain. Oxidation-driven, hydrophobic-to-hydrophilic transitions that are isolated to the surface of HECMTP coatings under physiologically relevant conditions increase wettability, decrease stiffness, and reduce protein adsorption to generate a non-fouling interface with minimal coating delamination or swelling. HECMTP can be used in diverse optical applications and permits oxidation-responsive, controlled drug release. HECMTP films are non-resorbable in vivo and evoke minimal foreign body responses. These results highlight the versatility of HECMTP and support its incorporation into chronically implanted medical devices."
Cancer Biology,Nrf2 orchestrates epigenetic regulations and serves as the master regulator of KLF4 expression and activity during arsenic-induced transformation,"Ziwei,Zhuoyue,Jessica,Yiran,Wenxuan,Haoyan,John,Chitra,Fei,Ziwei,Zhuoyue,Jessica,Yiran,Wenxuan,Haoyan,John,Chitra,Fei,Ziwei,Zhuoyue,Jessica,Yiran,Wenxuan,Haoyan,John,Chitra","Emerging evidence suggests that Nrf2 plays a pro-carcinogenic role in cancer. Our previous study showed that arsenic-induced Nrf2 activation triggers metabolic reprogramming, leading to the formation of cancer stem-like cells. Here, we further demonstrated that KLF4, a key pluripotency factor, is a direct transcriptional target of Nrf2 in arsenic-exposed human bronchial epithelial cells. ChIP-seq analysis identified multiple Nrf2 binding peaks at the Klf4 gene locus, which overlap with the enhancer markers H3K4me1 and H3K27Ac. Nrf2 knockout reduced both KLF4 expression and enhancer marker enrichment, accompanied by a global decrease in KLF4 binding across the genome. In wild-type (WT) cells, arsenic treatment increased KLF4 binding on genes involved in oncogenic pathways such as STAT3, SOX2, Nrf2, cell growth, Hedgehog, and EMT. We also found that KLF4 engages in a self-feedback loop in response to Nrf2 signaling. Lastly, our data showed that the co-occupancy of Nrf2 and KLF4 is crucial for establishing active enhancer hubs in the genome. These findings suggest that the oncogenic effects of Nrf2 are, in part, mediated by Nrf2 dependent self-amplification of KLF4 expression and function. Thus, targeting both Nrf2 and KLF4 could be a promising therapeutic strategy for eliminating cancer stem-like cells."
Genomics,Chromosome level genome reference of the Caucasian dwarf goby ,"Alexandra,Nadège,Tobias,Carola,Alexander Ben,Lisa,Jost,Ann-Marie,Alexandra,Nadège,Tobias,Carola,Alexander Ben,Lisa,Jost,Ann-Marie,Alexandra,Nadège,Tobias,Carola,Alexander Ben,Lisa,Jost",The Caucasian dwarf goby 
Evolutionary Biology,Thermodynamic consistency of autocatalytic cycles,"Thomas,Denis,Etienne,Sylvain,Thomas,Denis,Etienne,Sylvain,Thomas,Denis,Etienne","Autocatalysis is seen as a potential key player in the origin of life, and perhaps more generally in the emergence of Darwinian dynamics. Building on recent formalizations of this phenomenon, we tackle the computational challenge of exhaustively detecting autocatalytic cycles in reactions networks, and further evaluate the impact of thermodynamic constraints on their realization under mass action kinetics. We first characterize the complexity of the detection problem by proving its NP-completeness. This justifies the use of constraint solvers to list all autocatalytic cycles in a given reaction network, and also to group them into compatible sets, composed of cycles whose stoichiometric requirements are not contradictory. Crucially, we show that the introduction of thermodynamic realism does constrain the composition of these sets. Compatibility relationships among cycles can indeed be disrupted when the reaction kinetics obey thermodynamic consistency throughout the network. On the contrary, these constraints have no impact on the realizability of isolated cycles, unless upper or lower bounds are imposed on the concentrations of the reactants. Overall, by better characterizing the conditions of autocatalysis in complex reaction systems, this work brings us a step closer to assessing the contribution of this collective chemical behavior to the emergence of natural selection in the primordial soup."
Evolutionary Biology,New insights into past and future invasion of ,"Louise,Nicolas O.,Svitlana,Anne,Xiao,Carole,Marc,William,Julián,Hugues,Marija,Sophie,Jinping,Arnaud,Simon,Mathieu,Louise,Nicolas O.,Svitlana,Anne,Xiao,Carole,Marc,William,Julián,Hugues,Marija,Sophie,Jinping,Arnaud,Simon,Mathieu,Louise,Nicolas O.,Svitlana,Anne,Xiao,Carole,Marc,William,Julián,Hugues,Marija,Sophie,Jinping,Arnaud,Simon","Climate change and globalization are accelerating biological invasions, highlighting the urgent need to understand adaptation mechanisms in invaded environments to improve management strategies. Genomic data can provide insights into the adaptation of invasive species through Genotype-Environment Association (GEA) studies, identifying genes and biological processes associated with invasion success, and more globally to estimate genetic (mal)adaptation to new environments by calculating Genomic Offset (GO) statistics. In this study, we investigate genetic adaptation in the invasive crop pest "
Evolutionary Biology,Effects of a transmissible cancer on life-history traits in Tasmanian devils,"Kasha,Menna E,Shelly,Sebastien,Rodrigo,Paul  A.,Hamish,Andrew,Loeske,Kasha,Menna E,Shelly,Sebastien,Rodrigo,Paul  A.,Hamish,Andrew,Loeske,Kasha,Menna E,Shelly,Sebastien,Rodrigo,Paul  A.,Hamish,Andrew","Shifts in life history traits, such as timing of reproduction, can help mediate population declines following perturbations, and early reproduction should be favoured when adult survival is impacted more than juvenile survival. In Tasmanian devils, following the emergence of a fatal transmissible cancer, females started to breed precocially (i.e., at age one instead of typically age two) and the same time as populations started to decline following disease emergence. Here, we focus on a diseased site (Freycinet Peninsula, Tasmania, Australia) with 18 years of continuous mark-recapture data to test: (1) whether rates of precocial breeding in females continued to increase after the initial rise after the emergence of the disease, (2) whether there was a relationship between body size and breeding success for either one-year-olds or adult females (i.e., at least two-years-old), and (3) whether there was inbreeding depression in breeding success for either age category. We show that rates of precocial breeding did not continue to rise, and that the proportion of precocially breeding females has plateaued at around 50%. We also show that there was no effect of body size on the probability of breeding for either one-year-old or for adult females. Finally, we show that there was no evidence for inbreeding depression in breeding success for either age class. We discuss possible constraints that may have inhibited further rise in rates of precocial breeding in the context of limitations to growth in the offspring of precocially breeding (and therefore smaller) females."
Scientific Communication and Education,"Meta-analysis: Purity of extracted human blood DNA, ","Stanley Evander Emeltan,Mudasir,Edi,Budi Setiadi,Stanley Evander Emeltan,Mudasir,Edi,Budi Setiadi,Stanley Evander Emeltan,Mudasir,Edi","DNA extraction technology continues to evolve along with the need for a fast and simple process. The DNA extraction with magnetic nanoparticles accommodates these demands by providing a method that is safe, simple, and yet able to give good purity. The purity parameter of the extracted DNA is based on the A260/280 value. This meta-analysis aims to find variables that can affect the purity of extracted DNA using magnetic nanoparticles, based on its extraction and particle synthesis procedure. The information to be analyzed is from DNA extraction from human blood, plasmid extraction, and E. coli gDNA extraction. The research begins with a systematic review to collect appropriate studies and analysis will be carried out using Minitab to find variables that affect the purity of DNA, either positive or negative. Here we show, that no variables have been found significant to the purity of the extracted DNA in both the DNA extraction procedure steps and reagents. For the magnetic nanoparticle synthesis method, for extraction of "
Evolutionary Biology,A novel downstream factor in willows replaces the ancestral sex determining gene,"Yuan,Zhiqing,Ren-Gang,Elvira,Xiao-Ru,Judith E.,Li,Yuan,Zhiqing,Ren-Gang,Elvira,Xiao-Ru,Judith E.,Li,Yuan,Zhiqing,Ren-Gang,Elvira,Xiao-Ru,Judith E.","Sex chromosome turnover has occurred in many groups, and is mediated by the translocation or duplication of apical sex-determining genes, or the replacement of original sex determination genes by new ones. In dioecious plants, the former frequently occurs, while the latter is rarely reported. Here, we assembled four haplotype-resolved chromosome-level genomes from four lineages of the Salix polyclona complex, including three diploids (E, E-TS, and W1) and one autotetraploid (W2). Our analyses reveal that diploids have a ZW/ZZ system, while autotetraploid has a ZZZW/ZZZZ system on chromosome 15. The apical sex-determining genes of Salicaceae, ARR17-like duplicates on chromosomes 15 and 19, which can indirectly turn-on/off the expression of PISTILLATA (PI) gene and determine sex, appears to have lost the function of sex determination in the S. polyclona complex. We found a novel sex determining factor on the 15W of the complex, namely partial PI-like duplicates, which has taken over the function from the ARR17-like duplicates. In conclusion, a new dominant sex-determining gene was recruited in the S. polyclona complex, replacing the ancestral apical sex-determining ARR17-like duplicates. The newly identified partial PI-like duplicates exhibit a direct influence on the downstream intact PI-like duplications, providing valuable insights into the evolutionary trajectory of the top-down sex determination pathway."
Biophysics,The 3D point spread function can be autoencoded in latent space,"Axel,Konrad,Johan,Axel,Konrad,Johan,Axel,Konrad",The 3D point spread function of a fluorescence emitter in a living cell is often different from that of the z-stack of bead images typically used as a reference. Here we show that the location in z of a fluorescent emitter can be directly accessed in the latent space of an autoencoder trained on the sample images without z-reference data. The corresponding decoding network represents an accurate point spread function.
Biophysics,Innovative Strategies for Enhancing Signal-to-Noise Ratio in Single-molecule Imaging: The Influence of Molecular Motion,"Gayun,Gyeongho,Seongyu,Jae-Hyung,Jong-Bong,Gayun,Gyeongho,Seongyu,Jae-Hyung,Jong-Bong,Gayun,Gyeongho,Seongyu,Jae-Hyung","Single-molecule fluorescence imaging has extensively revealed the dynamic and structural characteristics of biomolecules. However, its application is limited by the upper concentration of fluorophore-tagged biomolecules, which is in the sub-ten nanomolar range. We found that the signal-to-noise ratio (SNR) in single-molecule fluorescence imaging is strongly influenced by the size of fluorophore-labeled molecules in solution. Our computational simulations suggest that the faster diffusion of background fluorophores can enhance the SNR of target molecules. Moreover, we identified that the molecular motion through fluid flow can improve SNR. This study provides a novel perspective by emphasizing the importance of molecular motion in SNR and propose a rapid barrier-free method to increase the upper concentration limit in single-molecule imaging."
