title,author,abstract
Proportional recovery in mice with cortical stroke,"Aref,Carolin,Christian,Gereon R.,Markus,Aref,Carolin,Christian,Gereon R.,Markus,Aref,Carolin,Christian,Gereon R.,Markus","The proportional Recovery Rule (PRR) has been frequently used to predict recovery of lost motor function in acute stroke patients. However, it still needs to be explored whether the same concept applies to preclinical, i.e. animal models of stroke recovery. To address this question, we investigated behavioral data from 125 adult male C57Bl/6J mice with photothrombotic strokes in the sensorimotor cortex. Lesion size and location were determined in the first week using in vivo T2-weighted MRI. Motor recovery was evaluated repeatedly over four weeks using the cylinder, grid walk, and rotating beam test. Recovery trajectories were analyzed using a newly formulated Mouse Recovery Rule (MRR), comparing it against the traditional PRR. Initial findings indicated variable recovery patterns, which were separated using a stepwise linear regression approach resulting in two clusters: 47% PRR and 53% MRR. No significant correlation was found between recovery patterns and lesion size or location, suggesting that other biological factors drive individual differences in recovery. Of note, in the MRR cluster, animals recovered to 90% of their initial behavioral state within the first four weeks post-stroke, which is higher than the 70% recovery usually reported in human PRR studies. This study demonstrates the complexity of translating the PRR to stroke recovery models in mice and underscores the need for species-specific recovery models. Our findings have implications for designing and interpreting therapeutic strategies for stroke recovery in preclinical settings, with the potential to improve the predictive accuracy of stroke recovery assessments."
Learning is a fundamental source of behavioral individuality,"Riddha,Johanni,Goncalo Vasconcelos,Alireza,Ivan,Ana Marija,Riddha,Johanni,Goncalo Vasconcelos,Alireza,Ivan,Ana Marija,Riddha,Johanni,Goncalo Vasconcelos,Alireza,Ivan,Ana Marija","Learning and memory are thought to be essential for our individual uniqueness and sense of self (1). Yet, individuality is rarely studied in the context of behaviors that depend on learning. While it is established that such behaviors can vary across individuals, it remains unknown whether their variation stems from learning or from classical sources of individuality, the developmental stochasticity, environment and genetics (2-12). To answer this fundamental question, we measured behavior in thousands of flies in the presence and absence of learning, and compared the extent of their individuality. We discover an excess of non-normally distributed individual behavior only in flies that experienced learning, even though they were genetically identical, raised under the same conditions and exposed to the same environment as the non-learning flies. By tracking each fly's decision-making process, we find that learning does not simply change individual behavior, but it also diversifies it. We could recreate the emergence of this excess of individuality using computer simulations of behaving flies only when we enabled reinforced learning. Although individual experience and genetics shaped behavioral biases, we demonstrated that behavior can diverge due to learning even in individuals that share biases. Our results thus establish learning as the fundamental source of individuality, rather than a phenotypic outcome of genetics, environment, or development."
"Pairwise interactions, feedback rule changes, and deliberative decisions underlie honeybee inflight group coordination","Md. Saiful,Imraan,Md. Saiful,Imraan,Md. Saiful,Imraan","Systematic descriptions of the underlying interaction rules that insects use to support group and swarm flight has the potential to contribute to mathematics, biology, and robotics, including aerial swarming under sensory and computational limitations. This study analyzes 1,000 trajectories of flying honeybees in crowded conditions approaching a moving stimulus and finds how during this stimulus, honeybees coordinate flight through pairwise interactions involving a novel three-zone decision-making process. The experimental setup consists of 3-D position reconstructions via a high speed camera system recording honeybee foragers returning to a hive entrance actuated to move robotically. The analysis consists of neighborhood identification through three methods (cross-correlation, distance threshold, and average distance threshold), which reveals the dominant interaction is pairwise. The individual leader-follower pair interactions are then tested against three regulation candidates: optic flow, relative velocity, and optical expansion rate, based on minimizing root mean square error. The results show that each follower demonstrates a three stage process involving a feedback rule change, linked by an intermediate observation/decision phase. During the initial “lock” phase, an insect maintains a consistent optical expansion rate until inter-agent distance closes to 10 cm. The regulation candidates then undergo large variations during a relatively long observation/decision zone, with 1.04 seconds being the average time in the decision zone. 79% of the paired insect entries into the decision zone result in subsequent re-engagement to track the same initial leader, while 21% result in disengagement from the group behavior. Visual regulation candidate comparison in the third stage indicates that upon re-engagement, the follower relative velocity is regulated to provide consistent velocity matching between agents. The third stage’s velocity tracking is consistent with a closed-loop feedback proportional-integral (PI) controller regulating velocity tracking error. Across the insect population studied, the proportional gain remained showed minimal variability over individuals, a derivative gain was considered and found negligible, and the integral gain varied by individual. Collectively, these findings underscore the existence of an alternative swarm architecture, highlighting individual decision-making capabilities, feedback regulation target changes, and the presence of reactive, deliberative, and moderate (PI control) timescale interaction rules contained within aerial groups."
Api-TRACE: A System for Honey Bee Tracking in a Constrained Environment to Study Bee Learning Process and the Effect of Lithium on Learning,"Babur,Ayben,Sedat,Okan Can,Ayse Gul,Tugrul,Hande,Babur,Ayben,Sedat,Okan Can,Ayse Gul,Tugrul,Hande,Babur,Ayben,Sedat,Okan Can,Ayse Gul,Tugrul,Hande","Learning is an adaptive behavior that improves the performance of bees in foraging, dance communication, predator avoidance, and other tasks. Any deficiencies in learning could be detrimental to the long-term survival of the bee colony. Passive avoidance task is a fundamental procedure for investigating learning. We introduce Api-TRACE, a computer vision-aided system to analyze the avoidance assays. Api-TRACE tracks individual bees from the video footage of the assay and detects the moments when they were exposed to a stimulus. The algorithm provides stimulus exposure duration and learning profiles of each individual bee, enabling fast and detailed analysis of the results. Electric shock avoidance assay is one of the most common experimental methods to assess learning. We designed an apparatus for the electric shock avoidance experiments using within-reach hardware and 3D-printed components. We used Api-TRACE and experimental apparatus to investigate the effect of lithium on bee learning success in passive avoidance and reversal learning paradigms through an electric shock avoidance assay. Lithium is a potential chemical for combating ,, a bee (,) parasite, and a well-known medication for treating bipolar disorder. It has been known that lithium alters learning in humans and other animals. Before the experiment, we treated the bees with a sucrose solution with 0, 5, 25, and 125 mM LiCl ,. Our results indicated that a decrement in learning performance emerged with increasing lithium doses in the reversal phase but not in the acquisition of the electric shock avoidance assay."
Nonlinear Singular Value Decomposition Beamforming for Ultrasound Imaging of Gas Vesicles,"Ge,Mathis,Mohamed,Esteban,Nabil,Anatole,Thomas,Simon,Pascal,Claire,Mikhail,Mickael,Ge,Mathis,Mohamed,Esteban,Nabil,Anatole,Thomas,Simon,Pascal,Claire,Mikhail,Mickael,Ge,Mathis,Mohamed,Esteban,Nabil,Anatole,Thomas,Simon,Pascal,Claire,Mikhail,Mickael","Ultrasound imaging holds significant promise for the observation of molecular and cellular phenomena through the utilization of acoustic contrast agents and acoustic reporter genes. Optimizing imaging methodologies for enhanced detection represents an imperative advancement in this field. Most advanced techniques relying on amplitude modulation scheme such as cross amplitude modulation (xAM) and ultrafast amplitude modulation (uAM) combined with Hadamard encoded multiplane wave transmissions have shown efficacy in capturing acoustic signals of gas vesicles (GVs). Nonetheless, uAM sequence requires odd- or even-element transmissions leading to imprecise amplitude modulation emitting scheme, and the complex multiplane wave transmission scheme inherently yields overlong pulse durations. xAM sequence is limited in terms of field of view and imaging depth. To overcome these limitations, we introduce an innovative ultrafast imaging sequence called nonlinear singular value decomposition (SVD) beamforming. Our method demonstrated a contrast imaging sensitivity comparable to the current gold-standard xAM and uAM, while requiring 4.8 times less pulse transmissions. With similar number of transmit pulses, nonlinear SVD beamforming outperforms xAM and uAM in terms of an improvement in signal-to-background ratio of + 4.78 dB and + 8.29 dB respectively. Additionally, our method provides a higher flexibility in terms of the selection of acoustic pressure amplitude compared to the other methods. Furthermore, it shows a significant potential for application in the realm of ultrasound localization microscopy (ULM), where it stands poised to facilitate the more precise extraction of nonlinear signatures originating from contrast agents."
Direct M2 macrophage co-culture overrides viscoelastic hydrogel mechanics to promote fibroblast activation,"Leilani R,Mackenzie L,Steven R,Leilani R,Mackenzie L,Steven R,Leilani R,Mackenzie L,Steven R","Fibroblast activation drives fibrotic diseases such as pulmonary fibrosis. However, the complex interplay of how tissue mechanics and macrophage signals combine to influence fibroblast activation is not well understood. Here, we use hyaluronic acid hydrogels as a tunable cell culture system to mimic lung tissue stiffness and viscoelasticity. We applied this platform to investigate the influence of macrophage signaling on fibroblast activation. Fibroblasts cultured on stiff (50 kPa) hydrogels mimicking fibrotic tissue exhibit increased activation as measured by spreading as well as type I collagen and cadherin-11 expression compared to fibroblasts cultured on soft (1 kPa) viscoelastic hydrogels mimicking normal tissue. These trends were unchanged in fibroblasts cultured with macrophage-conditioned media. However, fibroblasts directly co-cultured with M2 macrophages show increased activation, even on soft viscoelastic hydrogels that normally suppress activation. Inhibition of interleukin 6 (IL6) signaling does not change activation in fibroblast-only cultures but ameliorates the pro-fibrotic effects of M2 macrophage co-culture. These results underscore the ability of direct M2 macrophage co-culture to override hydrogel viscoelasticity to promote fibroblast activation in an IL6-dependent manner. This work also highlights the utility of using hydrogels to deconstruct complex tissue microenvironments to better understand the interplay between microenvironmental mechanical and cellular cues."
Impact of social isolation stress on safety learning and the structure of defensive behavior during a spatial-based learning task involving thermal threat,"Stephanie A.,Ada C.,Kelly,John R.,Anthony,Stephanie A.,Ada C.,Kelly,John R.,Anthony,Stephanie A.,Ada C.,Kelly,John R.,Anthony","Safety learning during threat and adversity is critical for behavioral adaptation, resiliency, and survival. Using a novel mouse paradigm involving thermal threat, we recently demonstrated that safety learning is highly susceptible to stress. Yet, our previous study primarily considered male mice and did not thoroughly scrutinize the relative impacts of stress on potentially distinct defensive mechanisms implemented by males and females during the thermal task. The present study assessed these issues while analyzing a variety of defensive behaviors related to safety-seeking, escape, coping, protection, ambivalence, and risk-taking. After a two-week social isolation stress period, mice were required to explore a box arena that had thermal threat and safety zones (5°C vs 30°C, respectively). Since visuospatial cues clearly differentiated the threat and safety zones, the majority of the no-stress controls (69-75%) in both sexes exhibited optimal memory formation for the safety zone. In contrast, the majority of the stress-exposed mice in both sexes (69-75%) exhibited robust impairment in memory formation for the safety zone. Furthermore, while the control groups exhibited many robust correlations among various defensive behaviors, the stress-exposed mice in both sexes exhibited disorganized behaviors. Thus, stress severely impaired the proper establishment of safety memory and the structure of defensive behavior, effects that primarily occurred in a sex-independent manner."
Design of a biomolecular adaptive controller to restore sustained periodic behavior,"Frank Britto,Subham,Guy-Bart,Christian,Frank Britto,Subham,Guy-Bart,Christian,Frank Britto,Subham,Guy-Bart,Christian",
"Semi-automated workflow for high-throughput ,-mediated plant transformation","Davide,Facundo,Carolina,Lesley,Eftychios,Felipe X.,Jennifer C.,Jim,Davide,Facundo,Carolina,Lesley,Eftychios,Felipe X.,Jennifer C.,Jim,Davide,Facundo,Carolina,Lesley,Eftychios,Felipe X.,Jennifer C.,Jim","High-throughput experiments in plants are hindered by long generation times and high costs. To address these challenges, we present an optimized pipeline for , transformation and simplified a protocol to obtain stable transgenic lines of the model liverwort ,, paving the way for efficient high-throughput experiments for plant synthetic biology and other applications. Our protocol involves freeze-thaw , transformation method in 6-well plates that can be adapted to robotic automation. Using the Opentrons open-source platform, we implemented a semi-automated protocol showing similar efficiency compared to manual manipulation. Additionally, we have streamlined and simplified the process of stable transformation and selection of ,, reducing cost, time, and manual labour without compromising transformation efficiency. The addition of sucrose in the selection media significantly enhances the production of gemmae, accelerating the generation of isogenic plants. We believe these protocols have the potential to facilitate high-throughput screenings in diverse plant species and represent a significant step towards the full automation of plant transformation pipelines. This approach allows testing ∼100 constructs per month, using conventional plant tissue culture facilities. We recently demonstrated the successful implementation of this protocol for screening hundreds of fluorescent reporters in , gemmae."
Spheroplasted cells: a game changer for DNA delivery to diatoms,"E.J.L.,M.,G.,B.J.K.,E.J.L.,M.,G.,B.J.K.,E.J.L.,M.,G.,B.J.K.","Diatoms, vital to global carbon fixation and climate change mitigation, produce 20% of the world’s fixed organic carbon annually. Their potential as cell factories for biofuels, proteins, and other high value chemicals remains underutilized due to a lack of genetic engineering tools, with DNA delivery being the biggest challenge. Here, we present an optimized, highly efficient electroporation method for delivering DNA constructs as large as 55.6 kb to ,, a model diatom species and emerging chassis for algal biotechnology. We also demonstrate that with this optimized protocol, episomes can be assembled ,, forgoing the need for time-consuming traditional cloning steps in , and ,. By incorporating other technologies, such as CRISPR genome editing, this method will accelerate diatom-based synthetic biology projects and, therefore, the development of sustainable technologies. This method should also be applicable to other diatom species."
